"ref ID","partner ID","ref date","user ID","registration date","payment ID","payment date","payment amount","revenue in cents","payment service ID","payment provider",platform,place,country,"last app"
,,,118062121,"2018-04-21 17:58:42",5,"2018-04-27 18:29:49",548,383,146,"Деньги от Google Play",fb,EmptyLikes,TR,topfacemobappandroid
,,,118359365,"2018-05-04 00:37:45",1,"2018-05-04 01:08:18",999,969,147,"Деньги от Payment Ninja",fb,LeftMenu,AZ,topfacemobappandroid
,,,117709300,"2018-04-06 13:41:15",3,"2018-04-10 17:08:07",1281,896,147,"Деньги от Google Play",fb,LeftMenu,PK,topfacemobappandroid
,,,117933247,"2018-04-16 15:12:02",1,"2018-04-20 01:05:41",393,275,147,"Деньги от Google Play",fb,LeftMenu,US,topfacemobappandroid
9365,63,"2018-05-13 10:46:36",118692637,"2018-05-13 10:46:34",3,"2018-05-15 19:33:53",500,485,19,"Деньги от Payment Ninja",fb,EmptyLikes,US,topfacemobappandroid
,,,117778492,"2018-04-09 03:38:45",4,"2018-04-13 07:17:28",100,97,19,"Деньги от Payment Ninja",fb,EmptyLikes,MX,topfacemobappandroid
,,,117740205,"2018-04-07 21:25:46",8,"2018-04-10 11:29:45",100,97,19,"Деньги от Payment Ninja",fb,autorefill,RU,topfacemobappandroid
,,,118412622,"2018-05-05 21:48:00",1,"2018-05-06 15:27:26",391,273,147,"Деньги от Google Play",fb,promo.key31,UA,topfacemobappandroid
,,,118147393,"2018-04-25 20:57:10",1,"2018-04-25 21:02:37",159,111,147,"Деньги от Google Play",fb,Visitors,RU,topfacemobappandroid
,,,118069236,"2018-04-21 23:51:15",8,"2018-05-06 21:58:09",300,291,67,"Деньги от Payment Ninja",fb,EmptyLikes,UA,topfacemobappandroid
,,,118290387,"2018-05-01 21:45:46",1,"2018-05-02 05:33:29",553,387,147,"Деньги от Google Play",fb,LeftMenu,TR,topfacemobappandroid
8786,42,"2018-04-18 07:48:43",117954322,"2018-04-17 08:11:48",1,"2018-04-24 18:24:24",100,97,19,"Деньги от Payment Ninja",fb,EmptyLikes,UA,topfacemobappandroid
,,,118038117,"2018-04-20 12:59:48",8,"2018-05-04 15:28:38",156,109,147,"Деньги от Google Play",fb,LeftMenu,RU,topfacemobappandroid
,,,118125975,"2018-04-24 17:08:08",5,"2018-04-24 17:21:19",111,77,19,"Деньги от Google Play",fb,Gifts,LK,topfacemobappandroid
9553,63,"2018-05-13 17:20:50",118702690,"2018-05-13 17:20:49",17,"2018-05-14 22:21:51",96,67,77,"Деньги от Google Play",fb,BadaboomFilterScreen,IN,topfacemobappandroid
,,,118517591,"2018-05-08 10:29:52",2,"2018-05-08 11:02:11",667,466,147,"Деньги от Google Play",fb,LeftMenu,ES,topfacemobappandroid
,,,118259063,"2018-04-30 15:12:46",1,"2018-05-08 15:26:43",510,165,68,"Деньги от PaymentWall (mobile)",fb,none,TR,topfacemobappandroid
9365,63,"2018-04-01 18:33:13",117594160,"2018-04-01 18:33:11",5,"2018-04-02 19:45:05",499,484,147,"Деньги от Payment Ninja",fb,LeftMenu,EC,topfacemobappandroid
,,,117716016,"2018-04-06 20:05:08",3,"2018-04-09 22:05:17",1936,1355,147,"Деньги от Google Play",fb,TrialVipPopup,ES,topfacemobappandroid
,,,117707474,"2018-04-06 11:14:00",4,"2018-04-10 13:16:29",979,685,147,"Деньги от Google Play",fb,TrialVipPopup,TR,topfacemobappandroid
,,,118339700,"2018-05-03 09:49:51",1,"2018-05-06 13:32:17",885,619,147,"Деньги от Google Play",fb,promo.key31,MU,topfacemobappandroid
,,,118601907,"2018-05-10 21:01:19",1,"2018-05-10 21:05:40",932,652,19,"Деньги от Google Play",fb,EmptyAdmirations,IN,topfacemobappandroid
,,,118220480,"2018-04-28 21:35:25",46,"2018-05-05 00:02:02",51,35,19,"Деньги от Google Play",fb,Menu,RU,topfacemobappandroid
,,,118396005,"2018-05-05 09:25:38",10,"2018-05-05 12:28:24",300,291,67,"Деньги от Payment Ninja",fb,Gifts,US,topfacemobappandroid
,,,117697273,"2018-04-05 19:35:56",1,"2018-04-05 20:16:52",305,296,147,"Деньги от Payment Ninja",fb,Dating,RU,topfacemobappandroid
,,,117745603,"2018-04-08 02:06:21",3,"2018-04-09 23:55:41",53,37,19,"Деньги от Google Play",fb,EmptyLikes,TR,standalonetf
9553,63,"2018-04-19 14:12:23",118020379,"2018-04-19 14:12:22",7,"2018-04-20 19:08:27",500,485,19,"Деньги от Payment Ninja",fb,EmptyLikes,TR,topfacemobappandroid
,,,117689636,"2018-04-05 10:55:39",4,"2018-04-23 17:32:03",909,636,147,"Деньги от Google Play",fb,LeftMenu,BY,topfacemobappandroid
9553,63,"2018-04-01 21:04:52",117598729,"2018-04-01 21:04:49",1,"2018-04-03 16:26:07",2500,2425,19,"Деньги от Payment Ninja",fb,EmptyLikes,US,topfacemobappandroid
,,,117753124,"2018-04-08 11:30:43",4,"2018-05-11 13:32:03",937,655,147,"Деньги от Google Play",fb,LeftMenu,TR,topfacemobappandroid
,,,118064581,"2018-04-21 20:15:19",3,"2018-04-25 15:39:49",165,115,67,"Деньги от Google Play",fb,EmptyLikes,TR,topfacemobappandroid
,,,117823698,"2018-04-11 19:17:19",1,"2018-04-11 20:00:22",1088,1055,147,"Деньги от Payment Ninja",fb,LeftMenu,ES,topfacemobappandroid
9553,63,"2018-05-13 17:20:50",118702690,"2018-05-13 17:20:49",19,"2018-05-14 23:02:40",281,196,77,"Деньги от Google Play",fb,BadaboomFilterScreen,IN,topfacemobappandroid
,,,118404213,"2018-05-05 16:02:16",6,"2018-05-13 01:19:08",73,51,19,"Деньги от Google Play",fb,EmptyLikes,RU,topfacemobappandroid
,,,118143118,"2018-04-25 16:58:35",3,"2018-05-04 12:22:44",279,271,147,"Деньги от Payment Ninja",fb,promo.key31,RU,topfacemobappandroid
,,,118611499,"2018-05-11 04:40:05",4,"2018-05-11 05:19:58",159,111,67,"Деньги от Google Play",fb,Gifts,TR,topfacemobappandroid
